NDVI,EVI,RED,SWIR,Area,Biomass
0.27036157,0.183592692,0.13235,0.2995,250000,17.4433884
0.5082763,0.41950049,0.09722,0.20122,250000,45.993156
0.18971209,0.160453759,0.128925,0.228525,250000,7.7654508
0.51682156,0.405409888,0.09227273,0.19979091,250000,47.0185872
-0.3027527,-0.125074809,0.11241667,0.045183334,250000,-51.330324
-0.30608308,-0.122339114,0.1127,0.044783335,250000,-51.7299696
-0.16741212,-0.056894615,0.1095,0.060766667,250000,-35.0894544
0.32317778,0.210431966,0.11132,0.22246,250000,23.7813336
0.41673142,0.284135995,0.11004,0.27804,250000,35.0077704
0.22971158,0.139157922,0.13798,0.28786,250000,12.5653896
0.35758317,0.219542402,0.10538333,0.2074,250000,27.9099804
0.41153875,0.314567678,0.11728333,0.24118334,250000,34.38465
0.33240777,0.232539242,0.1274,0.29718333,250000,24.8889324
0.6650096,0.555181353,0.07436667,0.21211667,250000,64.801152
0.4006824,0.298640725,0.12554,0.2634,250000,33.081888
0.5088504,0.376204363,0.09126,0.21508,250000,46.062048
0.5736547,0.508321817,0.09295,0.23035,250000,53.838564
0.48944032,0.364861945,0.09268,0.20576,250000,43.7328384
0.15136565,0.115170319,0.16242,0.25704,250000,3.163878
0.2652277,0.18934604,0.11705,0.1735,250000,16.827324
-0.015510654,-0.01230048,0.11486,0.06704,250000,-16.86127848
-0.12942964,-0.054039935,0.10073333,0.051333334,250000,-30.5315568
0.21600011,0.149642446,0.1371,0.2688,250000,10.9200132
0.16831239,0.121929703,0.1525,0.25888333,250000,5.1974868
0.32001427,0.262909364,0.14648,0.29006,250000,23.4017124
0.2605619,0.202275149,0.13168,0.27292,250000,16.267428
0.34877804,0.288652681,0.1288,0.24675,250000,26.8533648
0.3049707,0.199452152,0.114766665,0.23965,250000,21.596484
0.41553676,0.310233546,0.107480004,0.25698,250000,34.8644112
0.49481714,0.37998153,0.08851667,0.19811666,250000,44.3780568
0.43451253,0.321837347,0.10464545,0.2416909,250000,37.1415036
-0.28839475,-0.125067553,0.11445,0.0452,250000,-49.60737
-0.2975734,-0.125701917,0.11716667,0.045083333,250000,-50.708808
-0.2039815,-0.084301608,0.11091667,0.053583335,250000,-39.47778
0.24360147,0.142235692,0.1123,0.22918333,250000,14.2321764
0.50700116,0.392804734,0.098233335,0.21303333,250000,45.8401392
0.57424855,0.403524846,0.07885,0.21171667,250000,53.909826
0.25734496,0.159776309,0.13685,0.27676666,250000,15.8813952
0.4501853,0.302733136,0.097616665,0.22643334,250000,39.022236
0.6223578,0.495828947,0.07738333,0.19815,250000,59.682936
0.6051533,0.401847931,0.0702,0.17356667,250000,57.618396
0.4641315,0.362849466,0.1007,0.21731667,250000,40.69578
0.62499154,0.551857098,0.087349996,0.22421667,250000,59.9989848
0.5044602,0.37535127,0.08911666,0.16745,250000,45.535224
0.31669763,0.259337934,0.14019999,0.26556,250000,23.0037156
0.27335402,0.207494233,0.14918,0.28446,250000,17.8024824
0.21552967,0.159351269,0.12575,0.1569,250000,10.8635604
-0.07497224,-0.038968576,0.10943333,0.061283335,250000,-23.9966688
-0.063816905,-0.015090063,0.11593333,0.06791667,250000,-22.6580286
0.20774017,0.145655952,0.13780001,0.23884,250000,9.9288204
0.18519576,0.130571538,0.14261666,0.27905,250000,7.2234912
0.19836187,0.161269726,0.1805,0.3619,250000,8.8034244
0.21630584,0.162043344,0.16163334,0.37283334,250000,10.9567008
0.18391834,0.138044119,0.15942,0.3057,250000,7.0702008
0.51282454,0.445032116,0.10046,0.20412,250000,46.5389448
0.29209536,0.181073704,0.10961667,0.24291667,250000,20.0514432
0.5439449,0.427318102,0.08561666,0.2022,250000,50.273388
0.5704242,0.456079696,0.086899996,0.20085834,250000,53.450904
0.46386206,0.336263906,0.095241666,0.204375,250000,40.6634472
-0.31076396,-0.12579541,0.11145,0.04523333,250000,-52.2916752
-0.31247306,-0.127400976,0.11173333,0.04523333,250000,-52.4967672
-0.22143443,-0.084650612,0.114599995,0.05665,250000,-41.5721316
0.2616661,0.187743411,0.14151667,0.29373333,250000,16.399932
0.5280513,0.429842271,0.09663333,0.22478333,250000,48.366156
0.4984843,0.371409747,0.098633334,0.23851667,250000,44.818116
0.572466,0.398286863,0.0781,0.2096,250000,53.69592
0.6805247,0.54415538,0.069583334,0.20126666,250000,66.662964
0.5618889,0.407612489,0.08183333,0.20215,250000,52.426668
0.50658953,0.396509627,0.09663333,0.218,250000,45.7907436
0.5988122,0.434235363,0.07661667,0.19548333,250000,56.857464
0.5136226,0.396848585,0.091866665,0.18545,250000,46.634712
0.27099144,0.174644587,0.11778333,0.19081667,250000,17.5189728
0.40884948,0.350043187,0.1233,0.23872,250000,34.0619376
0.3624183,0.266740692,0.11006667,0.14806667,250000,28.490196
0.41313303,0.304811377,0.101900004,0.1295,250000,34.5759636
-0.1681331,-0.063241007,0.104666665,0.049516667,250000,-35.175972
0.58734643,0.434304006,0.080649994,0.12228333,250000,55.4815716
0.036222417,0.016436498,0.12933333,0.08355,250000,-10.65330996
0.3159807,0.201031975,0.10633333,0.19895,250000,22.917684
0.32663965,0.236846208,0.124583334,0.27643332,250000,24.196758
0.23818745,0.163262304,0.1372,0.3146,250000,13.582494
0.46139073,0.414362145,0.11164001,0.20024,250000,40.3668876
0.37519088,0.267379966,0.106633335,0.21611667,250000,30.0229056
0.32658234,0.248268437,0.119839996,0.27572,250000,24.1898808
0.5597965,0.405452401,0.07727143,0.1811,250000,52.17558
0.5408961,0.469001185,0.09245,0.18908334,250000,49.907532
0.54591405,0.531308497,0.1087,0.2171909,250000,50.509686
-0.32444575,-0.128750065,0.11028333,0.044616666,250000,-53.93349
-0.31906563,-0.127945475,0.110816665,0.0448,250000,-53.2878756
-0.27394345,-0.116656343,0.119833335,0.049566668,250000,-47.873214
0.35617372,0.277203823,0.13331667,0.2864,250000,27.7408464
0.39651746,0.287647794,0.11265,0.24885,250000,32.5820952
0.57267284,0.469375058,0.086833335,0.21323334,250000,53.7207408
0.56417114,0.519288538,0.10081667,0.23955,250000,52.7005368
0.60986084,0.412972315,0.070766665,0.17328334,250000,58.1833008
0.28861308,0.198733336,0.13981667,0.3118,250000,19.6335696
0.5195653,0.403262969,0.08912,0.19698,250000,47.347836
0.50942814,0.378921163,0.090283334,0.19015,250000,46.1313768
0.47579348,0.323817657,0.08802,0.1962,250000,42.0952176
0.35366893,0.230897532,0.10668333,0.21025,250000,27.4402716
0.17974955,0.121846052,0.14186667,0.25748333,250000,6.569946
0.14330292,0.110150004,0.16536,0.28766,250000,2.1963504
0.4262803,0.281666858,0.092250004,0.11195,250000,36.153636
-0.1971803,-0.067782594,0.1052,0.04916667,250000,-38.661636
0.53242517,0.370150706,0.082883336,0.1229,250000,48.8910204
0.10309992,0.084940771,0.15566666,0.1697,250000,-2.6280096
0.24237289,0.146867734,0.111483335,0.19328333,250000,14.0847468
0.2184275,0.172510944,0.16175,0.31241667,250000,11.2113
0.3598121,0.278276235,0.122,0.2449,250000,28.177452
0.24635662,0.154120996,0.13185,0.2552,250000,14.5627944
0.44738543,0.340648185,0.09971666,0.2246,250000,38.6862516
0.29826352,0.203440327,0.11751667,0.25325,250000,20.7916224
0.5738241,0.488477769,0.0903,0.20868333,250000,53.858892
0.61182857,0.493209446,0.076385714,0.20141429,250000,58.4194284
0.5291037,0.496194594,0.110190906,0.24507272,250000,48.492444
-0.3289687,-0.128552109,0.10988334,0.044233333,250000,-54.476244
-0.32532158,-0.130681961,0.112616666,0.044833332,250000,-54.0385896
0.089672625,0.086365462,0.24885,0.32093334,250000,-4.239285
-0.16406801,-0.051752364,0.10823333,0.07371667,250000,-34.6881612
0.41478953,0.230677391,0.07205,0.13565,250000,34.7747436
0.47025073,0.335543079,0.09583333,0.2196,250000,41.4300876
0.5209717,0.399505546,0.09081667,0.20685,250000,47.516604
0.5646043,0.476957956,0.09055,0.19968334,250000,52.752516
0.5851089,0.442821428,0.08026667,0.1963,250000,55.213068
0.5453548,0.399916661,0.08403333,0.21043333,250000,50.442576
0.12549534,0.094838032,0.14346667,0.17006667,250000,0.0594408
0.20491508,0.158211956,0.11,0.1368,250000,9.5898096
0.37199363,0.236120465,0.09676,0.16264,250000,29.6392356
0.12112058,0.099269325,0.1441,0.13626666,250000,-0.4655304
0.13473664,0.091940363,0.1454,0.25505,250000,1.1683968
0.5646115,0.413555861,0.08106667,0.12413333,250000,52.75338
-0.17457807,-0.062601083,0.10588333,0.049766667,250000,-35.9493684
0.5375935,0.402127648,0.08585,0.12803334,250000,49.51122
0.19783786,0.123740522,0.1196,0.21186,250000,8.7405432
0.31990802,0.249452101,0.13491666,0.26465,250000,23.3889624
0.25381184,0.168065004,0.12632,0.27014,250000,15.4574208
0.5175233,0.381307233,0.087733336,0.18005,250000,47.102796
0.4800716,0.43504735,0.10772,0.20144,250000,42.608592
0.33233878,0.276364953,0.13788,0.29906,250000,24.8806536
0.37643054,0.275231235,0.112783335,0.25493333,250000,30.1716648
0.2971015,0.192728276,0.1166,0.22811666,250000,20.65218
0.35796118,0.242856148,0.10601429,0.27681428,250000,27.9553416
0.46893856,0.40267888,0.110700004,0.24841818,250000,41.2726272
